"seller","day_of_week","income"
Abraham Bennet,monday   ,231845242
Albert Ringer,monday   ,392378038
Ann Dull,monday   ,39656843
Anne Ringer,monday   ,53386961
Burt Gringlesby,monday   ,118429816
Charlene Locksley,monday   ,108450663
Cheryl Carson,monday   ,77977657
Dean Straight,monday   ,192550178
Dirk Stringer,monday   ,759341455
Heather McBadden,monday   ,293014644
Innes del Castillo,monday   ,260992757
Johnson White,monday   ,98560782
Livia Karsen,monday   ,132386626
Marjorie Green,monday   ,97539869
Meander Smith,monday   ,52160239
Michael O'Leary,monday   ,138096278
Michel DeFrance,monday   ,479584921
Morningstar Greene,monday   ,67381291
Reginald Blotchet-Halls,monday   ,103178572
Sheryl Hunter,monday   ,153301532
Stearns MacFeather,monday   ,30778277
Sylvia Panteley,monday   ,96399428
Abraham Bennet,tuesday  ,259058032
Albert Ringer,tuesday  ,419021706
Ann Dull,tuesday  ,38097808
Anne Ringer,tuesday  ,55417863
Burt Gringlesby,tuesday  ,114454018
Charlene Locksley,tuesday  ,102419646
Cheryl Carson,tuesday  ,76905548
Dean Straight,tuesday  ,183459092
Dirk Stringer,tuesday  ,734550038
Heather McBadden,tuesday  ,267891419
Innes del Castillo,tuesday  ,285473370
Johnson White,tuesday  ,100275591
Livia Karsen,tuesday  ,145696078
Marjorie Green,tuesday  ,102488971
Meander Smith,tuesday  ,63913955
Michael O'Leary,tuesday  ,125258271
Michel DeFrance,tuesday  ,467420387
Morningstar Greene,tuesday  ,67737441
Reginald Blotchet-Halls,tuesday  ,89298154
Sheryl Hunter,tuesday  ,163754751
Stearns MacFeather,tuesday  ,31056506
Sylvia Panteley,tuesday  ,99289902
Abraham Bennet,wednesday,214842816
Albert Ringer,wednesday,403718426
Ann Dull,wednesday,35589007
Anne Ringer,wednesday,46106242
Burt Gringlesby,wednesday,119047499
Charlene Locksley,wednesday,106731412
Cheryl Carson,wednesday,66729907
Dean Straight,wednesday,168092852
Dirk Stringer,wednesday,642376643
Heather McBadden,wednesday,249479673
Innes del Castillo,wednesday,245730068
Johnson White,wednesday,89036569
Livia Karsen,wednesday,156662692
Marjorie Green,wednesday,94949353
Meander Smith,wednesday,49655900
Michael O'Leary,wednesday,134525041
Michel DeFrance,wednesday,439203901
Morningstar Greene,wednesday,64838805
Reginald Blotchet-Halls,wednesday,80548672
Sheryl Hunter,wednesday,140290966
Stearns MacFeather,wednesday,24953855
Sylvia Panteley,wednesday,85876351
Abraham Bennet,thursday ,226133921
Albert Ringer,thursday ,405676716
Ann Dull,thursday ,36627442
Anne Ringer,thursday ,55678732
Burt Gringlesby,thursday ,103250743
Charlene Locksley,thursday ,102081558
Cheryl Carson,thursday ,70730737
Dean Straight,thursday ,182913508
Dirk Stringer,thursday ,693463721
Heather McBadden,thursday ,289587876
Innes del Castillo,thursday ,247744632
Johnson White,thursday ,91715665
Livia Karsen,thursday ,168820567
Marjorie Green,thursday ,90204717
Meander Smith,thursday ,56688842
Michael O'Leary,thursday ,130193803
Michel DeFrance,thursday ,481154817
Morningstar Greene,thursday ,61407062
Reginald Blotchet-Halls,thursday ,89971578
Sheryl Hunter,thursday ,148434254
Stearns MacFeather,thursday ,22585497
Sylvia Panteley,thursday ,91590684
Abraham Bennet,friday   ,233935362
Albert Ringer,friday   ,357492149
Ann Dull,friday   ,37433123
Anne Ringer,friday   ,51753352
Burt Gringlesby,friday   ,109360164
Charlene Locksley,friday   ,97761375
Cheryl Carson,friday   ,80473506
Dean Straight,friday   ,176048825
Dirk Stringer,friday   ,672023524
Heather McBadden,friday   ,245868794
Innes del Castillo,friday   ,231816498
Johnson White,friday   ,91757930
Livia Karsen,friday   ,172939430
Marjorie Green,friday   ,99954937
Meander Smith,friday   ,53551958
Michael O'Leary,friday   ,142326765
Michel DeFrance,friday   ,473980679
Morningstar Greene,friday   ,62929145
Reginald Blotchet-Halls,friday   ,96796982
Sheryl Hunter,friday   ,158669558
Stearns MacFeather,friday   ,28022437
Sylvia Panteley,friday   ,91390801
Abraham Bennet,saturday ,219357052
Albert Ringer,saturday ,359055423
Ann Dull,saturday ,37658783
Anne Ringer,saturday ,48579238
Burt Gringlesby,saturday ,108212069
Charlene Locksley,saturday ,100507642
Cheryl Carson,saturday ,69224919
Dean Straight,saturday ,176094744
Dirk Stringer,saturday ,724561953
Heather McBadden,saturday ,260891532
Innes del Castillo,saturday ,245765314
Johnson White,saturday ,91955961
Livia Karsen,saturday ,142421335
Marjorie Green,saturday ,95303143
Meander Smith,saturday ,53094398
Michael O'Leary,saturday ,131118670
Michel DeFrance,saturday ,480574642
Morningstar Greene,saturday ,64598715
Reginald Blotchet-Halls,saturday ,92451664
Sheryl Hunter,saturday ,143802266
Stearns MacFeather,saturday ,27623849
Sylvia Panteley,saturday ,87097890
Abraham Bennet,sunday   ,232328749
Albert Ringer,sunday   ,362985487
Ann Dull,sunday   ,34138288
Anne Ringer,sunday   ,49050829
Burt Gringlesby,sunday   ,112782281
Charlene Locksley,sunday   ,93745117
Cheryl Carson,sunday   ,69553596
Dean Straight,sunday   ,176873006
Dirk Stringer,sunday   ,698820602
Heather McBadden,sunday   ,266458385
Innes del Castillo,sunday   ,244679492
Johnson White,sunday   ,88933985
Livia Karsen,sunday   ,137975385
Marjorie Green,sunday   ,104815534
Meander Smith,sunday   ,56678280
Michael O'Leary,sunday   ,125981635
Michel DeFrance,sunday   ,438321489
Morningstar Greene,sunday   ,68473054
Reginald Blotchet-Halls,sunday   ,80496473
Sheryl Hunter,sunday   ,148514540
Stearns MacFeather,sunday   ,27431435
Sylvia Panteley,sunday   ,95337214
